,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
21,frozenset({3}),frozenset({66}),0.03772318432004296,0.030473889112632567,0.0012082158679017317,0.03202846975088968,1.051013529402543,5.864373195734298e-05,1.0016060189681995
22,frozenset({21}),frozenset({5}),0.008726003490401396,0.07329842931937172,0.0008054772452678212,0.09230769230769231,1.2593406593406595,0.00016587489518604356,1.0209424083769634
23,frozenset({5}),frozenset({21}),0.07329842931937172,0.008726003490401396,0.0008054772452678212,0.01098901098901099,1.2593406593406595,0.00016587489518604356,1.0022881520263718
24,frozenset({25}),frozenset({5}),0.008323264867767485,0.07329842931937172,0.000939723452812458,0.11290322580645162,1.5403225806451615,0.0003296412111959932,1.0446454069490718
25,frozenset({5}),frozenset({25}),0.07329842931937172,0.008323264867767485,0.000939723452812458,0.012820512820512822,1.5403225806451615,0.0003296412111959932,1.0045556537703135
26,frozenset({27}),frozenset({5}),0.014364344207276145,0.07329842931937172,0.0010739696603570949,0.07476635514018691,1.020026702269693,2.1085791760937743e-05,1.001586546089164
27,frozenset({5}),frozenset({27}),0.07329842931937172,0.014364344207276145,0.0010739696603570949,0.014652014652014652,1.020026702269693,2.1085791760937743e-05,1.0002919480721695
28,frozenset({9}),frozenset({6}),0.02752047254665056,0.028191703584373742,0.0017452006980802793,0.06341463414634146,2.2494076655052266,0.0009693516935432115,1.0376078164854343
29,frozenset({6}),frozenset({9}),0.028191703584373742,0.02752047254665056,0.0017452006980802793,0.06190476190476191,2.2494076655052266,0.0009693516935432115,1.036653303376667
30,frozenset({13}),frozenset({6}),0.015035575244999329,0.028191703584373742,0.0006712310377231843,0.04464285714285714,1.5835459183673466,0.0002473525571956156,1.0172198990518704
31,frozenset({6}),frozenset({13}),0.028191703584373742,0.015035575244999329,0.0006712310377231843,0.023809523809523808,1.5835459183673468,0.0002473525571956156,1.0089879473100007
32,frozenset({6}),frozenset({15}),0.028191703584373742,0.027654718754195194,0.0014767082829910056,0.05238095238095238,1.8941054091539529,0.0006970746491635132,1.0260930103598944
33,frozenset({15}),frozenset({6}),0.027654718754195194,0.028191703584373742,0.0014767082829910056,0.05339805825242719,1.8941054091539529,0.0006970746491635132,1.0266282515980463
34,frozenset({43}),frozenset({6}),0.008457511075312122,0.028191703584373742,0.0006712310377231843,0.07936507936507936,2.815192743764172,0.0004327993924264269,1.0555848736928353
35,frozenset({6}),frozenset({43}),0.028191703584373742,0.008457511075312122,0.0006712310377231843,0.023809523809523808,2.815192743764172,0.0004327993924264269,1.0157264520691924
36,frozenset({9}),frozenset({15}),0.02752047254665056,0.027654718754195194,0.0008054772452678212,0.029268292682926828,1.058347146578262,4.440631700765004e-05,1.0016622243989446
37,frozenset({15}),frozenset({9}),0.027654718754195194,0.02752047254665056,0.0008054772452678212,0.02912621359223301,1.058347146578262,4.440631700765004e-05,1.00165391327695
38,frozenset({9}),frozenset({21}),0.02752047254665056,0.008726003490401396,0.0006712310377231843,0.024390243902439022,2.795121951219512,0.0004310872982236157,1.0160558464223386
39,frozenset({21}),frozenset({9}),0.008726003490401396,0.02752047254665056,0.0006712310377231843,0.07692307692307691,2.7951219512195116,0.0004310872982236157,1.0535194880744618
40,frozenset({9}),frozenset({34}),0.02752047254665056,0.015169821452543966,0.0005369848301785474,0.01951219512195122,1.286250809410749,0.00011950417535622052,1.0044287890658135
41,frozenset({34}),frozenset({9}),0.015169821452543966,0.02752047254665056,0.0005369848301785474,0.035398230088495575,1.286250809410749,0.00011950417535622052,1.0081668495617293
42,frozenset({10}),frozenset({38}),0.005906833131964022,0.045509464357631896,0.0006712310377231843,0.11363636363636362,2.4969831053901848,0.0004024142258375884,1.0768611171349793
43,frozenset({38}),frozenset({10}),0.045509464357631896,0.005906833131964022,0.0006712310377231843,0.014749262536873156,2.4969831053901848,0.0004024142258375884,1.0089748011025874
44,frozenset({16}),frozenset({13}),0.0291314270371862,0.015035575244999329,0.0006712310377231843,0.023041474654377878,1.5324637919684,0.0002332232745113633,1.0081947177916752
45,frozenset({13}),frozenset({16}),0.015035575244999329,0.0291314270371862,0.0006712310377231843,0.04464285714285714,1.5324637919684,0.0002332232745113633,1.016236263288179
46,frozenset({19}),frozenset({13}),0.008054772452678213,0.015035575244999329,0.0005369848301785474,0.06666666666666665,4.43392857142857,0.00041587669288495636,1.055319026523215
47,frozenset({13}),frozenset({19}),0.015035575244999329,0.008054772452678213,0.0005369848301785474,0.03571428571428571,4.433928571428571,0.00041587669288495636,1.0286839396787042
48,frozenset({56}),frozenset({13}),0.03275607464089139,0.015035575244999329,0.0005369848301785474,0.01639344262295082,1.0903103044496487,4.4478405184610503e-05,1.0013804985009174
49,frozenset({13}),frozenset({56}),0.015035575244999329,0.03275607464089139,0.0005369848301785474,0.03571428571428571,1.0903103044496487,4.4478405184610503e-05,1.003067774446483
50,frozenset({16}),frozenset({15}),0.0291314270371862,0.027654718754195194,0.000939723452812458,0.03225806451612903,1.1664578766050735,0.0001341020311907159,1.004756790620665
51,frozenset({15}),frozenset({16}),0.027654718754195194,0.0291314270371862,0.000939723452812458,0.03398058252427184,1.1664578766050735,0.0001341020311907159,1.0050197287956766
52,frozenset({20}),frozenset({15}),0.011813666263928045,0.027654718754195194,0.0005369848301785474,0.04545454545454545,1.6436451897616944,0.00021028121219369349,1.018647437495605
53,frozenset({15}),frozenset({20}),0.027654718754195194,0.011813666263928045,0.0005369848301785474,0.019417475728155338,1.6436451897616944,0.00021028121219369349,1.0077543799486675
54,frozenset({29}),frozenset({15}),0.10417505705463821,0.027654718754195194,0.0033561551886159215,0.03221649484536082,1.1649547092383143,0.0004752232845676636,1.004713632818568
55,frozenset({15}),frozenset({29}),0.027654718754195194,0.10417505705463821,0.0033561551886159215,0.12135922330097088,1.1649547092383143,0.0004752232845676636,1.0195576698715165
56,frozenset({31}),frozenset({15}),0.01664652973553497,0.027654718754195194,0.0005369848301785474,0.03225806451612903,1.1664578766050735,7.662973210898052e-05,1.004756790620665
57,frozenset({15}),frozenset({31}),0.027654718754195194,0.01664652973553497,0.0005369848301785474,0.019417475728155338,1.1664578766050735,7.662973210898052e-05,1.002825816210296
58,frozenset({34}),frozenset({15}),0.015169821452543966,0.027654718754195194,0.0008054772452678212,0.05309734513274336,1.9200103101641035,0.000385960099446361,1.0268693157081863
59,frozenset({15}),frozenset({34}),0.027654718754195194,0.015169821452543966,0.0008054772452678212,0.02912621359223301,1.9200103101641035,0.000385960099446361,1.0143750839038796
60,frozenset({45}),frozenset({15}),0.03557524499932877,0.027654718754195194,0.0012082158679017317,0.033962264150943396,1.2280820663125114,0.00022439247283370547,1.0065292950396025
61,frozenset({15}),frozenset({45}),0.027654718754195194,0.03557524499932877,0.0012082158679017317,0.04368932038834951,1.2280820663125112,0.00022439247283370547,1.0084847691885193
62,frozenset({46}),frozenset({15}),0.007383541414955027,0.027654718754195194,0.0005369848301785474,0.07272727272727272,2.6298323036187115,0.0003327950689380137,1.0486076562454758
63,frozenset({15}),frozenset({46}),0.027654718754195194,0.007383541414955027,0.0005369848301785474,0.019417475728155338,2.629832303618711,0.0003327950689380137,1.0122722300421745
64,frozenset({47}),frozenset({15}),0.0873942811115586,0.027654718754195194,0.003758893811249832,0.04301075268817204,1.5552771688067646,0.0013420295463846058,1.0160461927624702
65,frozenset({15}),frozenset({47}),0.027654718754195194,0.0873942811115586,0.003758893811249832,0.13592233009708737,1.5552771688067648,0.0013420295463846058,1.0561616746686457
66,frozenset({48}),frozenset({15}),0.013827359377097597,0.027654718754195194,0.0006712310377231843,0.04854368932038835,1.755349231784334,0.00028883930303636655,1.0219547343705908
67,frozenset({15}),frozenset({48}),0.027654718754195194,0.013827359377097597,0.0006712310377231843,0.024271844660194174,1.755349231784334,0.00028883930303636655,1.0107042983498402
68,frozenset({51}),frozenset({15}),0.04644918781044435,0.027654718754195194,0.0016109544905356424,0.034682080924855495,1.2541107806274203,0.0003264152652770122,1.007279842248648
69,frozenset({15}),frozenset({51}),0.027654718754195194,0.04644918781044435,0.0016109544905356424,0.05825242718446602,1.2541107806274203,0.0003264152652770122,1.012533336654889
70,frozenset({52}),frozenset({15}),0.0178547456034367,0.027654718754195194,0.0017452006980802793,0.09774436090225565,3.534455069713118,0.0012514327299895341,1.0776826867141003
71,frozenset({15}),frozenset({52}),0.027654718754195194,0.0178547456034367,0.0017452006980802793,0.06310679611650485,3.534455069713118,0.0012514327299895341,1.0483001160916685
